task_name,dataset_id,error_rate,method,n_raw,n_w,n_w_e1,n_w_e2,TP_e1,TP_e2,FP_e1,FP_e2,FN_e1,FN_e2,n_r2r,EDR_e1,Precision_e1,Recall_e1,F1_e1,EDR_e2,Precision_e2,Recall_e2,F1_e2
beers,7,10.001302818430538,mode,26510,2286,2286,0,2063,0,1073,1828,223,0,21323,0.43307086613983786,0.6578443877530044,0.9024496937843288,0.760973805522141,-182800000000.0,0.0,0.0,0.0
beers,7,10.001302818430538,bigdansing,26510,2286,2286,0,2035,0,1401,760,251,0,22063,0.2773403324572295,0.5922584400448421,0.890201224843,0.7112897540250616,-76000000000.0,0.0,0.0,0.0
beers,7,10.001302818430538,boostclean,26510,2286,2286,0,1780,0,2050,2082,506,0,20092,-0.11811023621995578,0.46475195822332965,0.7786526684130418,0.5820797860296424,-208200000000.0,0.0,0.0,0.0
beers,7,10.001302818430538,holoclean,26510,2286,2286,0,979,0,795,11441,1307,0,11988,0.0804899387573032,0.5518602029281181,0.42825896762717297,0.48226600492935773,-1144100000000.0,0.0,0.0,0.0
beers,7,10.001302818430538,horizon,26510,2286,2286,0,2011,0,1488,821,275,0,21915,0.22878390201124768,0.5747356387522872,0.8797025371790039,0.6952463219244264,-82100000000.0,0.0,0.0,0.0
beers,7,10.001302818430538,scared,26510,2286,2286,0,1496,0,4403,2752,790,0,17069,-1.271653543301524,0.2536023054750744,0.6544181977224216,0.3655467277998645,-275200000000.0,0.0,0.0,0.0
beers,7,10.001302818430538,baran,26510,2286,2286,0,1798,0,1621,3055,488,0,19548,0.07742782152197102,0.5258847616246684,0.7865266841610389,0.6303242721450395,-305500000000.0,0.0,0.0,0.0
beers,7,10.001302818430538,Unified,26510,2286,2286,0,1785,0,2048,2227,501,0,19949,-0.1150481189846236,0.4656926689265179,0.7808398950097076,0.5834286601321929,-222700000000.0,0.0,0.0,0.0
beers,7,10.001302818430538,GroundTruth,26510,2286,2286,0,2286,0,0,0,0,0,24224,0.9999999999956256,0.9999999999956256,0.9999999999956256,0.9999999949956255,0.0,0.0,0.0,0.0
beers,8,14.999782863594909,mode,26510,3461,3461,0,3005,0,1073,2602,456,0,19374,0.5582201675800109,0.7368808239314937,0.8682461716241888,0.7971879509937042,-260200000000.0,0.0,0.0,0.0
