task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,mean_col1,var_col1,normal_p_col1,mean_col2,var_col2,normal_p_col2,mean_col3,var_col3,normal_p_col3,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
rayyan,1,63,18.363636363636363,12,1000,2.5,0.0,2.5,0.0,mode,768.3350140969303,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1266.0,0.0,1.0,-0.12120455719234557,,,-0.05935279461213968
rayyan,1,63,18.363636363636363,12,1000,2.5,0.0,2.5,0.0,bigdansing,211.23890876283087,0.065,70.42785521908343,1081569.7627286888,0.0,67.63731486826529,81951.7649544797,0.0,546980.3591922042,334912742851.50507,7.981515793101293e-41,0.0007846551326877718,0.02753568600372409,0.06083516453698161,0.13720803614241173
rayyan,1,63,18.363636363636363,12,1000,2.5,0.0,2.5,0.0,boostclean,9.208785239032089,0.3157894736842105,5.418971809906524,289.729747124172,0.0,55.63026928840731,6336.515964213179,7.468920814851275e-42,591602.2125476951,322069142506.9632,2.794049008017253e-41,-0.0035513363817679306,0.15929169780282026,0.34176912056888303,0.06738936039912562
rayyan,1,63,18.363636363636363,12,1000,2.5,0.0,2.5,0.0,holoclean,0.0,0.064,70.87885521908343,1081629.17781737,0.0,74.97200476362053,81823.03712794658,0.0,591602.2125476951,322069142506.9632,2.794049008017253e-41,0.0,0.0275750108180069,0.05909197083268409,0.6241299269376827
rayyan,1,63,18.363636363636363,12,1000,2.5,0.0,2.5,0.0,horizon,0.0,0.064,70.87885521908343,1081629.17781737,0.0,74.97200476362053,81823.03712794658,0.0,591602.2125476951,322069142506.9632,2.794049008017253e-41,0.0,0.0275750108180069,0.05909197083268409,0.17322164902254145
rayyan,1,63,18.363636363636363,12,1000,2.5,0.0,2.5,0.0,scared,2.666590704314375,0.064,66.0928813833572,1061677.921812022,0.0,72.31310561368224,81975.51505457661,0.0,591602.2125476951,322069142506.9632,2.794049008017253e-41,-0.00033316577300221607,0.026138635655862524,0.058650125763008536,-0.008487342718357035
rayyan,1,63,18.363636363636363,12,1000,2.5,0.0,2.5,0.0,baran,27574.678812904785,0.044,15929068.13499933,2.5373294787830662e+17,0.0,744383000.9654485,4.883496874914385e+19,0.0,490223.1284535236,105646001598.1208,2.8884496415777115e-27,0.005124123135017945,0.007078840022200499,0.015226572910544562,-0.00012396976463407937
rayyan,1,63,18.363636363636363,12,1000,2.5,0.0,2.5,0.0,Unified,0.0,0.064,70.87885521908343,1081629.17781737,0.0,74.97200476362053,81823.03712794658,0.0,591602.2125476951,322069142506.9632,2.794049008017253e-41,0.0,0.0275750108180069,0.05909197083268409,0.0
rayyan,2,58,21.77272727272727,12,1000,5.0,0.0,5.0,0.0,mode,821.4489762323111,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1266.0,0.0,1.0,-0.12020452078404435,,,0.004175904825692817
rayyan,2,58,21.77272727272727,12,1000,5.0,0.0,5.0,0.0,bigdansing,262.7030326327476,0.085,63.75904287828519,688211.0385171212,0.0,81.19906565097423,88632.76018237679,0.0,607029.1052218414,541679098079.2055,1.6859021824291874e-41,0.0011655923316211065,0.032501305299669055,0.05945654964553995,0.20097987336713985
rayyan,2,58,21.77272727272727,12,1000,5.0,0.0,5.0,0.0,boostclean,8.896460757355042,,5.232078612615047,65.69173000892138,2.405188684167116e-41,65.45047412247027,11647.366470188193,1.5414283107572988e-44,676041.9874593059,578089953172.3234,3.670000678066696e-42,-0.004290209752667455,0.08258533646027964,0.13164958528850967,-0.002135790104744412
rayyan,2,58,21.77272727272727,12,1000,5.0,0.0,5.0,0.0,holoclean,195.12728524652653,0.085,61.62895032182548,623029.2974069171,0.0,94.44564605961054,183715.5593746535,0.0,712299.8075991455,660428270666.4885,8.794549162102552e-42,0.0028845603043367953,0.030541504964916245,0.07299376547153719,0.8598700859177872
rayyan,2,58,21.77272727272727,12,1000,5.0,0.0,5.0,0.0,horizon,0.0,0.087,64.02210056357009,688180.1061072052,0.0,85.8073796857197,88649.59786804969,0.0,676041.9874593059,578089953172.3234,3.670000678066696e-42,0.0,0.030495168185959997,0.058239885781518896,0.16658595598090686
rayyan,2,58,21.77272727272727,12,1000,5.0,0.0,5.0,0.0,scared,2.7130953797641078,0.086,59.16612485953573,668168.3371904783,0.0,82.97319380268326,88279.69468333267,0.0,676041.9874593059,578089953172.3234,3.670000678066696e-42,-0.00033316577300221607,0.029557244743964404,0.05829894813593082,-0.008981570340075658
rayyan,2,58,21.77272727272727,12,1000,5.0,0.0,5.0,0.0,baran,354.3803378661645,0.071,63.936485170054816,688189.0036702962,0.0,85.76537667454136,88655.37910951501,0.0,550456.5636008309,252628685647.22745,9.886363573829219e-38,0.0076181642992356495,0.02917462023789652,0.05824775264453552,-0.0031001430442741448
rayyan,2,58,21.77272727272727,12,1000,5.0,0.0,5.0,0.0,Unified,0.0,0.087,64.02210056357009,688180.1061072052,0.0,85.8073796857197,88649.59786804969,0.0,676041.9874593059,578089953172.3234,3.670000678066696e-42,0.0,0.030495168185959997,0.058239885781518896,0.0
rayyan,3,54,18.71818181818182,12,1000,2.5,0.0,0.0,2.5,mode,775.4054604130579,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1266.0,0.0,1.0,-0.12300258447102656,,,0.3401246328821759
