task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
flights,7,0,4.412177328843995,7,2376,0.0,2.5,2.5,0.0,boostclean,,,,,,0.0
flights,7,0,4.412177328843995,7,2376,0.0,2.5,2.5,0.0,holoclean,,,,,,-0.015785459853164433
flights,7,0,4.412177328843995,7,2376,0.0,2.5,2.5,0.0,horizon,,,,,,0.09329823999641122
flights,7,0,4.412177328843995,7,2376,0.0,2.5,2.5,0.0,scared,,,,,,-0.0034179829526950205
flights,7,0,4.412177328843995,7,2376,0.0,2.5,2.5,0.0,baran,,,,,,-0.017152163848037878
flights,7,0,4.412177328843995,7,2376,0.0,2.5,2.5,0.0,Unified,,,,,,-0.03645966680326013
flights,8,3,8.922558922558922,7,2376,0.0,5.0,5.0,0.0,mode,,,,,,-0.026449372989587244
flights,8,3,8.922558922558922,7,2376,0.0,5.0,5.0,0.0,bigdansing,,,,,,0.048468204114131504
flights,8,3,8.922558922558922,7,2376,0.0,5.0,5.0,0.0,boostclean,,,,,,-0.00214810239298379
flights,8,3,8.922558922558922,7,2376,0.0,5.0,5.0,0.0,holoclean,,,,,,-0.05277553149892064
flights,8,3,8.922558922558922,7,2376,0.0,5.0,5.0,0.0,horizon,,,,,,0.15643122060364004
flights,8,3,8.922558922558922,7,2376,0.0,5.0,5.0,0.0,scared,,,,,,-0.0036415382806161112
flights,8,3,8.922558922558922,7,2376,0.0,5.0,5.0,0.0,baran,,,,,,-0.05246571282364875
flights,8,3,8.922558922558922,7,2376,0.0,5.0,5.0,0.0,Unified,,,,,,-0.07006118110614008
flights,9,6,4.980359147025814,7,2376,0.0,2.5,0.0,2.5,mode,,,,,,0.009555907885670045
flights,9,6,4.980359147025814,7,2376,0.0,2.5,0.0,2.5,bigdansing,,,,,,0.03270346902616198
flights,9,6,4.980359147025814,7,2376,0.0,2.5,0.0,2.5,boostclean,,,,,,0.0
flights,9,6,4.980359147025814,7,2376,0.0,2.5,0.0,2.5,holoclean,,,,,,-0.013785416125994342
flights,9,6,4.980359147025814,7,2376,0.0,2.5,0.0,2.5,horizon,,,,,,0.07344157168486874
flights,9,6,4.980359147025814,7,2376,0.0,2.5,0.0,2.5,scared,,,,,,-0.001973975578182132
flights,9,6,4.980359147025814,7,2376,0.0,2.5,0.0,2.5,baran,,,,,,-0.017185157953859238
flights,9,6,4.980359147025814,7,2376,0.0,2.5,0.0,2.5,Unified,,,,,,-0.03418493660147594
flights,10,9,9.974747474747476,7,2376,0.0,5.0,0.0,5.0,mode,,,,,,-0.03063721213076207
flights,10,9,9.974747474747476,7,2376,0.0,5.0,0.0,5.0,bigdansing,,,,,,0.06024927357674709
flights,10,9,9.974747474747476,7,2376,0.0,5.0,0.0,5.0,boostclean,,,,,,0.0
flights,10,9,9.974747474747476,7,2376,0.0,5.0,0.0,5.0,holoclean,,,,,,-0.04136330642882043
flights,10,9,9.974747474747476,7,2376,0.0,5.0,0.0,5.0,horizon,,,,,,0.18867166691626283
flights,10,9,9.974747474747476,7,2376,0.0,5.0,0.0,5.0,scared,,,,,,-0.014801969980086952
flights,10,9,9.974747474747476,7,2376,0.0,5.0,0.0,5.0,baran,,,,,,-0.025692559884961445
flights,10,9,9.974747474747476,7,2376,0.0,5.0,0.0,5.0,Unified,,,,,,-0.06496579060291487
flights,11,17,4.650673400673401,7,2376,0.0,2.5,1.25,1.25,mode,,,,,,-0.018187628119215444
flights,11,17,4.650673400673401,7,2376,0.0,2.5,1.25,1.25,bigdansing,,,,,,0.03306337906850916
flights,11,17,4.650673400673401,7,2376,0.0,2.5,1.25,1.25,boostclean,,,,,,0.0
flights,11,17,4.650673400673401,7,2376,0.0,2.5,1.25,1.25,holoclean,,,,,,-0.01667407993961009
flights,11,17,4.650673400673401,7,2376,0.0,2.5,1.25,1.25,horizon,,,,,,0.13619768275444025
flights,11,17,4.650673400673401,7,2376,0.0,2.5,1.25,1.25,scared,,,,,,-0.011098545669541972
flights,11,17,4.650673400673401,7,2376,0.0,2.5,1.25,1.25,baran,,,,,,-0.023457182118601122
flights,11,17,4.650673400673401,7,2376,0.0,2.5,1.25,1.25,Unified,,,,,,-0.03681949357834343
flights,12,15,9.210157126823795,7,2376,0.0,5.0,2.5,2.5,mode,,,,,,-0.03419235062368351
flights,12,15,9.210157126823795,7,2376,0.0,5.0,2.5,2.5,bigdansing,,,,,,0.0492658382982618
flights,12,15,9.210157126823795,7,2376,0.0,5.0,2.5,2.5,boostclean,,,,,,0.0
flights,12,15,9.210157126823795,7,2376,0.0,5.0,2.5,2.5,holoclean,,,,,,-0.05304469183356116
flights,12,15,9.210157126823795,7,2376,0.0,5.0,2.5,2.5,horizon,,,,,,0.12090992669389689
flights,12,15,9.210157126823795,7,2376,0.0,5.0,2.5,2.5,scared,,,,,,-0.0068211119684158565
flights,12,15,9.210157126823795,7,2376,0.0,5.0,2.5,2.5,baran,,,,,,-0.05306410550220084
flights,12,15,9.210157126823795,7,2376,0.0,5.0,2.5,2.5,Unified,,,,,,-0.0695599674201887
flights,13,11,4.384118967452301,7,2376,1.25,1.25,2.5,0.0,mode,,,,,,-0.020051155582579347
flights,13,11,4.384118967452301,7,2376,1.25,1.25,2.5,0.0,bigdansing,,,,,,0.0353000940630888
flights,13,11,4.384118967452301,7,2376,1.25,1.25,2.5,0.0,boostclean,,,,,,0.0
flights,13,11,4.384118967452301,7,2376,1.25,1.25,2.5,0.0,holoclean,,,,,,-0.016191198822418925
flights,13,11,4.384118967452301,7,2376,1.25,1.25,2.5,0.0,horizon,,,,,,0.10590300600046076
flights,13,11,4.384118967452301,7,2376,1.25,1.25,2.5,0.0,scared,,,,,,-0.008434464704575812
flights,13,11,4.384118967452301,7,2376,1.25,1.25,2.5,0.0,baran,,,,,,-0.028191960776274127
flights,13,11,4.384118967452301,7,2376,1.25,1.25,2.5,0.0,Unified,,,,,,-0.03671033078592205
flights,14,7,8.733164983164983,7,2376,2.5,2.5,5.0,0.0,mode,,,,,,-0.03289320649414581
flights,14,7,8.733164983164983,7,2376,2.5,2.5,5.0,0.0,bigdansing,,,,,,0.046120701752883554
flights,14,7,8.733164983164983,7,2376,2.5,2.5,5.0,0.0,boostclean,,,,,,0.0
flights,14,7,8.733164983164983,7,2376,2.5,2.5,5.0,0.0,holoclean,,,,,,-0.05186022881816521
flights,14,7,8.733164983164983,7,2376,2.5,2.5,5.0,0.0,horizon,,,,,,0.14008693998598123
flights,14,7,8.733164983164983,7,2376,2.5,2.5,5.0,0.0,scared,,,,,,-0.018345777189599736
flights,14,7,8.733164983164983,7,2376,2.5,2.5,5.0,0.0,baran,,,,,,-0.030602197167524606
flights,14,7,8.733164983164983,7,2376,2.5,2.5,5.0,0.0,Unified,,,,,,-0.06674935347030388
flights,15,4,4.987373737373738,7,2376,1.25,1.25,0.0,2.5,mode,,,,,,-0.0020137013388609364
flights,15,4,4.987373737373738,7,2376,1.25,1.25,0.0,2.5,bigdansing,,,,,,0.033708899000709995
flights,15,4,4.987373737373738,7,2376,1.25,1.25,0.0,2.5,boostclean,,,,,,0.0
flights,15,4,4.987373737373738,7,2376,1.25,1.25,0.0,2.5,holoclean,,,,,,-0.012538087676968394
flights,15,4,4.987373737373738,7,2376,1.25,1.25,0.0,2.5,horizon,,,,,,0.09026334824432024
