task_name,num,dataset_id,error_rate,m,n,anomaly,missing,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,mode,KMEANSNF,k=25,0.5633243091097957,1.1066278926185071,0.7334852139004364
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,mode,GMM,"n_components=27, covariance type=full",0.6663286169175978,0.8160639024825028,0.945861425043637
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,mode,HC,"n_components=7, covariance type=single-manhattan",0.3995309607744186,0.3322282942636129,1.7047546960356075
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,mode,KMEANS,k=31,0.6335775523828253,0.8441999217639974,0.9090655427601957
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,mode,KMEANSPPS,k=30,0.5899188412639326,0.8410977812749791,0.8894206249429257
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,mode,DBSCAN,"n_components=5, covariance type=1.1500000000000001",0.7050501994502788,1.4102392463498514,0.7070748694143317
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,bigdansing,KMEANSNF,k=17,0.605109098355283,0.8850779202457939,0.8674765617628675
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,bigdansing,GMM,"n_components=11, covariance type=tied",0.724521292051763,0.30321675253058994,2.011246052759164
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,bigdansing,HC,"n_components=5, covariance type=average-euclidean",0.7457674087399672,0.21448036693452543,2.7040994102468545
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,bigdansing,KMEANS,k=17,0.5914154186769623,0.47315857655414595,1.352435886266671
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,bigdansing,KMEANSPPS,k=17,0.5140116318225009,0.9719066375287517,0.7714585222651655
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,bigdansing,DBSCAN,"n_components=7, covariance type=1.5000000000000002",0.6680508202827552,1.9560932539152478,0.5896369455317367
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,holoclean,KMEANSNF,k=16,0.37499734361795223,1.057419978964949,0.6603476910694432
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,holoclean,GMM,"n_components=12, covariance type=tied",0.46091927995747134,0.691046109136257,0.9540003609082742
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,holoclean,HC,"n_components=5, covariance type=single-manhattan",0.7465649238569751,0.2330370083297108,2.518864417274303
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,holoclean,KMEANS,k=30,0.37320791982783086,0.916906833250987,0.7319156337589001
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,holoclean,KMEANSPPS,k=6,0.41075947587961176,0.8853310637909253,0.7701402218417659
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,holoclean,DBSCAN,"n_components=20, covariance type=2.0",0.649839869649105,1.6146643144026858,0.6345818227724294
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,horizon,KMEANSNF,k=11,0.5828243374575407,0.8200036357033926,0.9011655627745223
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,horizon,GMM,"n_components=9, covariance type=tied",0.6325410768451527,0.4129948518797389,1.5269393826569746
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,horizon,HC,"n_components=5, covariance type=average-euclidean",0.7173218150953663,0.22671563690831112,2.5640667931691112
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,horizon,KMEANS,k=15,0.6053821991365848,0.5221792974410738,1.2602166132189427
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,horizon,KMEANSPPS,k=9,0.5238597997918412,0.8111310643587067,0.8783530921149341
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,horizon,DBSCAN,"n_components=8, covariance type=1.7500000000000002",0.5221535153358625,2.0768116295548644,0.5018304172124746
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,scared,KMEANSNF,k=11,0.587181050235652,0.6832576802600843,1.025378859805368
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,scared,GMM,"n_components=11, covariance type=full",0.6228006492659859,0.4630769711488087,1.391134431815201
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,scared,HC,"n_components=5, covariance type=single-manhattan",0.7017720397756715,0.24523250952475006,2.389767410324113
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,scared,KMEANS,k=15,0.60381870164862,0.45335001398494973,1.404809945455369
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,scared,KMEANSPPS,k=11,0.6100262519385784,0.5115078105123779,1.2825153062373666
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,scared,DBSCAN,"n_components=7, covariance type=1.7000000000000002",0.4924002778596583,1.533968067769528,0.5721521652500555
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,baran,KMEANSNF,k=12,0.5448102029517524,0.7425301667084184,0.9457784166860355
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,baran,GMM,"n_components=9, covariance type=tied",0.6108495811114242,0.4883381854901918,1.329305402099743
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,baran,HC,"n_components=14, covariance type=single-manhattan",0.5280014858597096,0.32892452079340445,1.7841063245810538
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,baran,KMEANS,k=15,0.6458142120937689,0.4531689210096509,1.4262484359995442
rayyan,1,53,18.89090909090909,12,1000,0.0,5.0,baran,KMEANSPPS,k=11,0.536734833564236,0.9125622908737384,0.8162752198990668
