,beers,flights,hospital,rayyan
beers,1.0,0.8666666666666667,0.7698812160552652,0.5020964452534339
flights,0.8666666666666667,1.0,0.8703005051059519,0.6025157343041205
hospital,0.7698812160552653,0.870300505105952,1.0,0.7815126050420169
rayyan,0.5020964452534339,0.6025157343041205,0.7815126050420169,1.0
