cleaning_method,beers,flights,hospital,rayyan
GroundTruth,0.8498281109842084,0.9999999956623149,0.999999995996444,0.6142746812979091
Unified,0.10437005239196287,0.43297113608292365,0.0,0.0
baran,0.37238290968418336,0.8228508169252222,0.820307584501944,0.03361865176579548
bigdansing,0.24119566318373112,0.45728273836049044,0.5096815879895381,0.004856913905263955
boostclean,0.0,0.0,0.0,0.0
holoclean,0.08526452519942743,0.605472569779505,0.6878283238968964,0.054526212439668834
horizon,0.17537502288660814,0.3849003708058948,0.41284542705925176,0.004902384096704961
mode,0.07366572086435942,0.022126329099722116,0.2612627622636155,0.03470980332563255
scared,0.029929341421191837,0.1994606810716151,0.37912721528387483,0.004387485258729757
