task_name,num,dataset_id,error_rate,m,n,anomaly,missing,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
beers,1,42,9.228215767634856,11,2410,0.0,5.0,mode,KMEANSNF,k=29,0.3169848292806675,1.1597449590209423,0.5896216867365889
beers,1,42,9.228215767634856,11,2410,0.0,5.0,mode,GMM,"n_components=9, covariance type=diag",0.398111211463501,0.8276529179022675,0.8031735749733475
beers,1,42,9.228215767634856,11,2410,0.0,5.0,mode,HC,"n_components=12, covariance type=single-manhattan",0.39814279042928336,0.49466509801837916,1.209856271695704
beers,1,42,9.228215767634856,11,2410,0.0,5.0,mode,KMEANS,k=49,0.3254272067458833,1.0743072523932988,0.6281298042653027
beers,1,42,9.228215767634856,11,2410,0.0,5.0,mode,KMEANSPPS,k=12,0.3153102564847716,1.2261178055661124,0.5654462864248937
beers,1,42,9.228215767634856,11,2410,0.0,5.0,mode,DBSCAN,"n_components=5, covariance type=1.4500000000000002",0.4114781105871266,1.4699081122284967,0.5458963725029775
beers,1,42,9.228215767634856,11,2410,0.0,5.0,bigdansing,KMEANSNF,k=28,0.21321283703526175,1.3504599197987546,0.47685065358867984
beers,1,42,9.228215767634856,11,2410,0.0,5.0,bigdansing,GMM,"n_components=6, covariance type=spherical",0.26658470020701114,1.288322772559397,0.5213938497041796
beers,1,42,9.228215767634856,11,2410,0.0,5.0,bigdansing,HC,"n_components=5, covariance type=single-euclidean",0.45341874865843435,0.351546101806724,1.6489979374232668
beers,1,42,9.228215767634856,11,2410,0.0,5.0,bigdansing,KMEANS,k=32,0.22969266257178456,1.1449658930384645,0.551540562127232
beers,1,42,9.228215767634856,11,2410,0.0,5.0,bigdansing,KMEANSPPS,k=24,0.21158197212567667,1.3294459916703785,0.4818874977923419
beers,1,42,9.228215767634856,11,2410,0.0,5.0,bigdansing,DBSCAN,"n_components=8, covariance type=1.7500000000000002",0.3402877010336629,1.4891983218507139,0.5058949675195827
beers,1,42,9.228215767634856,11,2410,0.0,5.0,boostclean,KMEANSNF,k=28,0.2108767365678276,1.2804129185900484,0.49593739616828153
beers,1,42,9.228215767634856,11,2410,0.0,5.0,boostclean,GMM,"n_components=6, covariance type=tied",0.26501909728619566,1.2016692912695768,0.5485974054541382
beers,1,42,9.228215767634856,11,2410,0.0,5.0,boostclean,HC,"n_components=5, covariance type=single-euclidean",0.4602672163279645,0.390217390443045,1.5114706583459592
beers,1,42,9.228215767634856,11,2410,0.0,5.0,boostclean,KMEANS,k=30,0.23043585367338318,1.2630935418627403,0.5110714273324884
beers,1,42,9.228215767634856,11,2410,0.0,5.0,boostclean,KMEANSPPS,k=30,0.1934318416862311,1.3474985306078504,0.46777383938084655
beers,1,42,9.228215767634856,11,2410,0.0,5.0,boostclean,DBSCAN,"n_components=5, covariance type=2.0",0.3462246232870655,1.3510167868715082,0.5432039380827782
beers,1,42,9.228215767634856,11,2410,0.0,5.0,holoclean,KMEANSNF,k=16,0.23297873087695442,1.2042281823044274,0.5316930679819547
beers,1,42,9.228215767634856,11,2410,0.0,5.0,holoclean,GMM,"n_components=10, covariance type=tied",0.28134206655986643,1.0140566475645985,0.6337401346963297
beers,1,42,9.228215767634856,11,2410,0.0,5.0,holoclean,HC,"n_components=8, covariance type=single-euclidean",0.651781811407419,0.20846580472385406,2.724365805039498
beers,1,42,9.228215767634856,11,2410,0.0,5.0,holoclean,KMEANS,k=47,0.2212899319861573,1.254913756113807,0.5090787209535712
beers,1,42,9.228215767634856,11,2410,0.0,5.0,holoclean,KMEANSPPS,k=12,0.24238033058141367,1.0741387939760334,0.5866793579388928
beers,1,42,9.228215767634856,11,2410,0.0,5.0,holoclean,DBSCAN,"n_components=43, covariance type=1.9500000000000002",0.4689068042716292,1.9427584279266459,0.4918194198622753
beers,1,42,9.228215767634856,11,2410,0.0,5.0,horizon,KMEANSNF,k=7,0.22959253141834057,1.4530244081385437,0.4589061080486706
beers,1,42,9.228215767634856,11,2410,0.0,5.0,horizon,GMM,"n_components=20, covariance type=spherical",0.18565507944523724,1.264755727810177,0.4881607957859929
beers,1,42,9.228215767634856,11,2410,0.0,5.0,horizon,HC,"n_components=5, covariance type=single-manhattan",0.516920360602166,0.44094595138860804,1.3923860014259204
beers,1,42,9.228215767634856,11,2410,0.0,5.0,horizon,KMEANS,k=31,0.20403712713293767,1.273872578380425,0.4945224987996847
beers,1,42,9.228215767634856,11,2410,0.0,5.0,horizon,KMEANSPPS,k=31,0.21042385767620103,1.3420586393352791,0.4777738909947241
beers,1,42,9.228215767634856,11,2410,0.0,5.0,horizon,DBSCAN,"n_components=6, covariance type=1.5500000000000003",0.1369097709073096,1.6974026452470692,0.36302258946899846
beers,1,42,9.228215767634856,11,2410,0.0,5.0,scared,KMEANSNF,k=7,0.2637206859480768,1.3450501950898097,0.5035936818674726
beers,1,42,9.228215767634856,11,2410,0.0,5.0,scared,GMM,"n_components=6, covariance type=tied",0.37205748077188355,0.9574959544500259,0.7082241582111731
beers,1,42,9.228215767634856,11,2410,0.0,5.0,scared,HC,"n_components=18, covariance type=single-euclidean",0.33022277102798586,0.43944261630544734,1.302916371756976
beers,1,42,9.228215767634856,11,2410,0.0,5.0,scared,KMEANS,k=27,0.2543248041927911,1.1708980162653004,0.5541850744848938
beers,1,42,9.228215767634856,11,2410,0.0,5.0,scared,KMEANSPPS,k=19,0.2669405892160497,1.1976388713509494,0.550958413907288
beers,1,42,9.228215767634856,11,2410,0.0,5.0,scared,DBSCAN,"n_components=5, covariance type=2.0",0.44413102549332223,1.4855876420455436,0.5586326635823649
beers,1,42,9.228215767634856,11,2410,0.0,5.0,baran,KMEANSNF,k=27,0.22905268609064866,1.2134717056152324,0.5265672647135383
beers,1,42,9.228215767634856,11,2410,0.0,5.0,baran,GMM,"n_components=28, covariance type=spherical",0.23981962706776835,1.170481997134713,0.5470842606624837
beers,1,42,9.228215767634856,11,2410,0.0,5.0,baran,HC,"n_components=5, covariance type=single-manhattan",0.5545231282472676,0.28005836085821956,2.062603728048983
beers,1,42,9.228215767634856,11,2410,0.0,5.0,baran,KMEANS,k=34,0.25121491656863704,1.182392427791138,0.54847890793836
beers,1,42,9.228215767634856,11,2410,0.0,5.0,baran,KMEANSPPS,k=33,0.24122675895168752,1.2485456329576334,0.521079319047126
beers,1,42,9.228215767634856,11,2410,0.0,5.0,baran,DBSCAN,"n_components=7, covariance type=1.9500000000000002",0.3852664851254916,1.5287177158706555,0.5197047449134812
beers,1,42,9.228215767634856,11,2410,0.0,5.0,Unified,KMEANSNF,k=20,0.21086893002059662,1.3425076865556747,0.47787181118504934
beers,1,42,9.228215767634856,11,2410,0.0,5.0,Unified,GMM,"n_components=30, covariance type=spherical",0.21335135045911752,1.2337515552211198,0.5119436547381132
beers,1,42,9.228215767634856,11,2410,0.0,5.0,Unified,HC,"n_components=5, covariance type=single-manhattan",0.5040522864095922,0.37532702096933546,1.5841977484057188
beers,1,42,9.228215767634856,11,2410,0.0,5.0,Unified,KMEANS,k=30,0.24482875827497708,1.1942956528590531,0.5410711822523939
beers,1,42,9.228215767634856,11,2410,0.0,5.0,Unified,KMEANSPPS,k=29,0.21785614022131075,1.2991375070842521,0.49379879955498185
beers,1,42,9.228215767634856,11,2410,0.0,5.0,Unified,DBSCAN,"n_components=5, covariance type=2.0",0.45859987261956986,1.4757294330625397,0.5681154324284495
beers,1,42,9.228215767634856,11,2410,0.0,5.0,GroundTruth,KMEANSNF,k=31,0.2323009820598004,1.2530481780808818,0.515177446853562
beers,1,42,9.228215767634856,11,2410,0.0,5.0,GroundTruth,GMM,"n_components=7, covariance type=tied",0.23957861181742826,1.2560987486216544,0.5178471819703385
beers,1,42,9.228215767634856,11,2410,0.0,5.0,GroundTruth,HC,"k=17, linkage=single, metric=euclidean",0.25870603133937287,0.4310367430252761,1.2893469328719604
beers,1,42,9.228215767634856,11,2410,0.0,5.0,GroundTruth,KMEANS,k=33,0.2352368178593518,1.2323399994534483,0.5233505934094085
beers,1,42,9.228215767634856,11,2410,0.0,5.0,GroundTruth,KMEANSPPS,k=32,0.2321994626691451,1.2579422784137444,0.5135742487110743
beers,1,42,9.228215767634856,11,2410,0.0,5.0,GroundTruth,DBSCAN,"eps=1.9900000000000002, min_samples=5",0.38466563369626267,1.2821934969722073,0.5719063651481159
beers,2,36,13.937759336099584,11,2410,0.0,10.0,mode,KMEANSNF,k=48,0.3644003522024094,1.0375627465869046,0.6640987423756453
beers,2,36,13.937759336099584,11,2410,0.0,10.0,mode,GMM,"n_components=37, covariance type=tied",0.5003779359218341,0.8838990157940736,0.815864447926026
beers,2,36,13.937759336099584,11,2410,0.0,10.0,mode,HC,"n_components=45, covariance type=single-manhattan",0.302868904670152,0.5494343159085109,1.0614613391217715
beers,2,36,13.937759336099584,11,2410,0.0,10.0,mode,KMEANS,k=48,0.450640817596958,0.8883433600575893,0.7881658382589819
beers,2,36,13.937759336099584,11,2410,0.0,10.0,mode,KMEANSPPS,k=48,0.38070549174970797,1.0164575312622843,0.682257212733471
beers,2,36,13.937759336099584,11,2410,0.0,10.0,mode,DBSCAN,"n_components=6, covariance type=1.05",0.47844812776865486,1.4011328400203493,0.5960781648793039
beers,2,36,13.937759336099584,11,2410,0.0,10.0,bigdansing,KMEANSNF,k=14,0.23039389942846952,1.3415980571131139,0.48788681561633157
beers,2,36,13.937759336099584,11,2410,0.0,10.0,bigdansing,GMM,"n_components=26, covariance type=spherical",0.19805177390881354,1.1314986267266227,0.5409177180090132
beers,2,36,13.937759336099584,11,2410,0.0,10.0,bigdansing,HC,"n_components=5, covariance type=single-manhattan",0.4829577040732987,0.4431544852817801,1.3697535657227236
beers,2,36,13.937759336099584,11,2410,0.0,10.0,bigdansing,KMEANS,k=27,0.21807282903153902,1.2364664791866355,0.513414542363527
beers,2,36,13.937759336099584,11,2410,0.0,10.0,bigdansing,KMEANSPPS,k=10,0.23769146533457852,1.3396451704094523,0.49207889249511055
beers,2,36,13.937759336099584,11,2410,0.0,10.0,bigdansing,DBSCAN,"n_components=18, covariance type=1.7000000000000002",0.12189847037618473,2.6880154685735618,0.2469600695176035
beers,2,36,13.937759336099584,11,2410,0.0,10.0,boostclean,KMEANSNF,k=24,0.22580604433571197,1.2618779698422677,0.509137849900445
beers,2,36,13.937759336099584,11,2410,0.0,10.0,boostclean,GMM,"n_components=6, covariance type=tied",0.26880514191480953,1.1486927840365118,0.569679963614994
beers,2,36,13.937759336099584,11,2410,0.0,10.0,boostclean,HC,"n_components=5, covariance type=single-euclidean",0.5342492070853775,0.38188018111397193,1.5764358082809502
beers,2,36,13.937759336099584,11,2410,0.0,10.0,boostclean,KMEANS,k=24,0.19508494592589756,1.3050179203258407,0.48067897416529126
beers,2,36,13.937759336099584,11,2410,0.0,10.0,boostclean,KMEANSPPS,k=15,0.17865293861283402,1.4130531396070747,0.44317020383082006
beers,2,36,13.937759336099584,11,2410,0.0,10.0,boostclean,DBSCAN,"n_components=8, covariance type=1.9500000000000002",0.2493461608113817,1.7084545515943792,0.41733524079701384
beers,2,36,13.937759336099584,11,2410,0.0,10.0,holoclean,KMEANSNF,k=11,0.22120566965951907,1.1747913879521137,0.5362103129979437
beers,2,36,13.937759336099584,11,2410,0.0,10.0,holoclean,GMM,"n_components=9, covariance type=tied",0.28879025059650704,0.9822592671936987,0.6534257007271758
beers,2,36,13.937759336099584,11,2410,0.0,10.0,holoclean,HC,"n_components=6, covariance type=single-manhattan",0.4799996976826332,0.4116929509123671,1.4544972039501
beers,2,36,13.937759336099584,11,2410,0.0,10.0,holoclean,KMEANS,k=47,0.22105917657957982,1.3576065722509119,0.47882480003953853
beers,2,36,13.937759336099584,11,2410,0.0,10.0,holoclean,KMEANSPPS,k=10,0.24608921529926478,1.0539525450094116,0.597449268815411
beers,2,36,13.937759336099584,11,2410,0.0,10.0,holoclean,DBSCAN,"n_components=28, covariance type=1.7000000000000002",0.3975188134263891,2.130908928638315,0.43340106280663826
beers,2,36,13.937759336099584,11,2410,0.0,10.0,horizon,KMEANSNF,k=8,0.21530700365119684,1.4405831407169005,0.4547351702610467
beers,2,36,13.937759336099584,11,2410,0.0,10.0,horizon,GMM,"n_components=20, covariance type=tied",0.24451633658245336,1.1415691605150133,0.5602517803247082
beers,2,36,13.937759336099584,11,2410,0.0,10.0,horizon,HC,"n_components=5, covariance type=single-manhattan",0.4731232039261992,0.3859933875604924,1.5319205798980278
beers,2,36,13.937759336099584,11,2410,0.0,10.0,horizon,KMEANS,k=26,0.24181264052926524,1.0600042150052353,0.5926025578098112
beers,2,36,13.937759336099584,11,2410,0.0,10.0,horizon,KMEANSPPS,k=22,0.23098870170538502,1.2855589961961693,0.5044302157017163
beers,2,36,13.937759336099584,11,2410,0.0,10.0,horizon,DBSCAN,"n_components=17, covariance type=2.0",0.320773168444229,1.8529228087324536,0.4302305289582904
beers,2,36,13.937759336099584,11,2410,0.0,10.0,scared,KMEANSNF,k=10,0.1988033038583382,1.2515775689366193,0.4988974661796723
beers,2,36,13.937759336099584,11,2410,0.0,10.0,scared,GMM,"n_components=7, covariance type=tied",0.3344606356129365,0.9674296467465311,0.6840637657801804
beers,2,36,13.937759336099584,11,2410,0.0,10.0,scared,HC,"n_components=8, covariance type=single-manhattan",0.41153491718336144,0.42759613438493593,1.375095148420335
beers,2,36,13.937759336099584,11,2410,0.0,10.0,scared,KMEANS,k=20,0.2617301031291773,1.175714568540036,0.5561383392987738
beers,2,36,13.937759336099584,11,2410,0.0,10.0,scared,KMEANSPPS,k=11,0.2038085676166655,1.390224950415513,0.4615583094755883
beers,2,36,13.937759336099584,11,2410,0.0,10.0,scared,DBSCAN,"n_components=5, covariance type=1.6500000000000001",0.1651156459122107,1.9464357028068007,0.33943761573784975
beers,2,36,13.937759336099584,11,2410,0.0,10.0,baran,KMEANSNF,k=24,0.19237483488570756,1.4297866011982325,0.4458899531785888
beers,2,36,13.937759336099584,11,2410,0.0,10.0,baran,GMM,"n_components=28, covariance type=spherical",0.159680086851791,1.3298697107988553,0.4558167244044021
beers,2,36,13.937759336099584,11,2410,0.0,10.0,baran,HC,"n_components=5, covariance type=single-euclidean",0.3719607790598935,0.4246645962904575,1.3633801642406584
beers,2,36,13.937759336099584,11,2410,0.0,10.0,baran,KMEANS,k=32,0.21374178041759848,1.255892836477909,0.5049940305574822
beers,2,36,13.937759336099584,11,2410,0.0,10.0,baran,KMEANSPPS,k=13,0.22081447946010158,1.3659166345215712,0.47646179047145165
beers,2,36,13.937759336099584,11,2410,0.0,10.0,baran,DBSCAN,"n_components=5, covariance type=2.0",0.3105135889382211,1.7793857110578821,0.43625264426872457
beers,2,36,13.937759336099584,11,2410,0.0,10.0,Unified,KMEANSNF,k=7,0.21800696008484338,1.5125884549801627,0.439562660468374
beers,2,36,13.937759336099584,11,2410,0.0,10.0,Unified,GMM,"n_components=24, covariance type=spherical",0.17925268496723165,1.2137160216096214,0.5015843220255712
beers,2,36,13.937759336099584,11,2410,0.0,10.0,Unified,HC,"n_components=7, covariance type=single-manhattan",0.3559092911896511,0.420394358050442,1.3673140897099303
beers,2,36,13.937759336099584,11,2410,0.0,10.0,Unified,KMEANS,k=24,0.21775152886827187,1.2125232109596835,0.5212390045606996
beers,2,36,13.937759336099584,11,2410,0.0,10.0,Unified,KMEANSPPS,k=22,0.2129775173967306,1.2896230471035215,0.4941989513185997
beers,2,36,13.937759336099584,11,2410,0.0,10.0,Unified,DBSCAN,"n_components=42, covariance type=1.4500000000000002",0.06761279695400693,2.0259387852914923,0.28060556320500385
beers,2,36,13.937759336099584,11,2410,0.0,10.0,GroundTruth,KMEANSNF,k=30,0.23000538994662165,1.2947628368800568,0.5011738035022147
beers,2,36,13.937759336099584,11,2410,0.0,10.0,GroundTruth,GMM,"n_components=6, covariance type=tied",0.279683446557992,1.19788985023763,0.5572423715112296
beers,2,36,13.937759336099584,11,2410,0.0,10.0,GroundTruth,HC,"k=17, linkage=single, metric=euclidean",0.25870603133937287,0.4310367430252761,1.2893469328719604
beers,2,36,13.937759336099584,11,2410,0.0,10.0,GroundTruth,KMEANS,k=34,0.23954673670122015,1.2210804797405244,0.5292467882403854
beers,2,36,13.937759336099584,11,2410,0.0,10.0,GroundTruth,KMEANSPPS,k=8,0.24805460227473433,1.320296562688664,0.5027300972590169
beers,2,36,13.937759336099584,11,2410,0.0,10.0,GroundTruth,DBSCAN,"eps=2.0, min_samples=7",0.38466563369626267,1.2821934969722073,0.5719063651481159
beers,3,32,18.813278008298756,11,2410,0.0,15.0,mode,KMEANSNF,k=37,0.4084554846694448,1.1932303048315236,0.6232583334749606
beers,3,32,18.813278008298756,11,2410,0.0,15.0,mode,GMM,"n_components=36, covariance type=tied",0.5251879734249412,0.915018480921088,0.8090310373572657
beers,3,32,18.813278008298756,11,2410,0.0,15.0,mode,HC,"n_components=5, covariance type=single-euclidean",0.34303538803965694,0.3649629508827904,1.5415197689991524
beers,3,32,18.813278008298756,11,2410,0.0,15.0,mode,KMEANS,k=49,0.5261485006062266,0.9115664608466626,0.8115806088363136
