task_name,num,dataset_id,error_rate,m,n,anomaly,missing,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,mode,KMEANSNF,k=24,0.5112478283201659,0.6905980349664377,0.6587530632131061
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,mode,GMM,"n_components=9, covariance type=diag",0.6575251288531472,0.6157620139185727,0.7025114098244244
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,mode,HC,"n_components=47, covariance type=single-euclidean",0.6931481285387865,0.28392619420613785,0.809284294139917
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,mode,KMEANS,k=9,0.6575251288531472,0.6157620139185727,0.7025114098244244
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,mode,KMEANSPPS,k=17,0.46212726474225374,0.7521924431832656,0.6363100581569372
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,mode,DBSCAN,"n_components=6, covariance type=1.8000000000000003",0.6861480307119784,1.036195024210833,0.6109978249445922
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,bigdansing,KMEANSNF,k=42,0.43121861317694243,0.8628837899831875,0.6082313022342324
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,bigdansing,GMM,"n_components=46, covariance type=tied",0.4661328138780375,0.8234937327573308,0.6220475527393018
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,bigdansing,HC,"n_components=39, covariance type=average-euclidean",0.48963462937494556,0.6355025961594474,0.6676264479426486
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,bigdansing,KMEANS,k=46,0.47597865963867536,0.8091963206291883,0.6266686515915815
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,bigdansing,KMEANSPPS,k=47,0.4573276378509843,0.8215762131950032,0.6209438251401668
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,bigdansing,DBSCAN,"n_components=36, covariance type=2.0",0.35705217904188224,1.19258757493639,0.5391564311945711
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,boostclean,KMEANSNF,k=7,0.33885092101322917,0.9606755345310193,0.5742992037271822
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,boostclean,GMM,"n_components=26, covariance type=spherical",0.39069584850219585,0.8733942062104452,0.5992259621416866
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,boostclean,HC,"n_components=41, covariance type=average-euclidean",0.44840199363228744,0.6445564452560187,0.6576325431374711
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,boostclean,KMEANS,k=20,0.3995914671645172,0.8553703838531103,0.6042402458680808
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,boostclean,KMEANSPPS,k=28,0.3686068729362993,0.9895456735821929,0.5742872031064366
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,boostclean,DBSCAN,"n_components=9, covariance type=1.9000000000000001",0.3030364069392235,0.7880628479889646,0.5991377405006981
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,holoclean,KMEANSNF,k=41,0.4050930083709856,0.9082289556923112,0.5951119151406632
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,holoclean,GMM,"n_components=48, covariance type=tied",0.4353343121796943,0.7466979413230682,0.6326512839866513
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,holoclean,HC,"n_components=47, covariance type=average-euclidean",0.4348943663683884,0.6167596259162554,0.6613830581976005
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,holoclean,KMEANS,k=48,0.43462456996143706,0.7758707002027507,0.6263956259074386
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,holoclean,KMEANSPPS,k=41,0.42990846403843624,0.8728929260117603,0.6060539989371312
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,holoclean,DBSCAN,"n_components=5, covariance type=0.9",0.3932855404565981,1.332443217758038,0.5233247967044732
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,horizon,KMEANSNF,k=10,0.3697470032238083,0.8977765332618419,0.5909887174306644
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,horizon,GMM,"n_components=45, covariance type=spherical",0.3640312073587039,0.9184291051133059,0.5862004135422069
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,horizon,HC,"n_components=5, covariance type=average-euclidean",0.5268969475710588,0.6021029006520117,0.6827139953565471
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,horizon,KMEANS,k=45,0.4087856969262057,0.8893311827551377,0.5993095377679402
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,horizon,KMEANSPPS,k=7,0.35434407251076205,0.7947296749667998,0.6078031051745335
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,horizon,DBSCAN,"n_components=21, covariance type=2.0",0.5050342761865315,0.5356819494765344,0.6951773127669341
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,scared,KMEANSNF,k=10,0.37983344817924203,0.9430657956927895,0.5844308176481382
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,scared,GMM,"n_components=21, covariance type=spherical",0.4460226858410311,0.858972466485612,0.6115032200704249
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,scared,HC,"n_components=41, covariance type=average-euclidean",0.49323017955351844,0.6223685640638325,0.6714279373380091
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,scared,KMEANS,k=28,0.44111273378023885,0.792156028112531,0.6241743577570563
flights,1,15,5.0014029180695845,7,2376,0.0,5.0,scared,KMEANSPPS,k=27,0.3757031614751654,0.9336840574786822,0.5854322829573987
